,smiles,s1_energy,t1_energy,t2_energy,s1_cal,t1_cal,s1_t1_gap,t2_t1_gap,scscore,s1_t1_gap_score,t2_t1_gap_score,total_score
5077,Cc1ccc(Cl)cc1-n1cnc2sc(-c3ccc(F)cc3)cc2c1=O,3.8586,2.6238,3.511,3.407338595322575,2.345435978902929,-1.2835333624832832,-1.7366,3.9705740407896473,0.010839949,0.004017154,0.00659892
5078,c1cnc2ccc(-c3ccc4ccoc4c3)cc2c1,3.9521,2.9717,3.4282,3.4749401462625755,2.6242484139579294,-1.7735566816532828,-2.5152,3.5321434758578287,0.0006523003,0.0002031944,0.0003640656
5079,Fc1cccc(-c2ccc(-c3ccsc3)cc2)c1,4.529,3.2359,3.7981,3.892045330618575,2.8359823758479283,-1.7799194210772824,-2.6737,2.888049816433301,0.00062885566,0.00011060768,0.00026373522
5080,c1coc(-c2csc(-n3ccnc3)n2)c1,4.0064,2.7358,3.5633,3.5141996565945752,2.435194509302929,-1.3561893620112824,-1.9083,3.2161807139901866,0.0071615935,0.002082546,0.00386191
5081,Fc1ccc(-c2cc(-c3ccsc3)cc(-c3ccco3)n2)cc1,3.846,2.9365,3.3623,3.398228653698576,2.5960385901179293,-1.7938485265372832,-2.5107000000000004,3.673287187729229,0.0005804294,0.0002067332,0.00034640153
5082,Cc1nc(=O)c2nc(-c3cc(Cl)sc3C)ccc2[nH]1,3.5623,2.8873,3.1891,3.193110364910575,2.556608949977929,-1.9201075350452832,-2.585500000000001,3.738066860385728,0.00028069387,0.00015515507,0.00020868894
5083,Cn1cc(-c2cccc(F)c2)c2cc(-c3ccccc3)cnc21,4.1511,3.1615,3.582,3.618819383022575,2.7763570663679293,-1.933894749713284,-2.7410000000000005,3.9755874932338218,0.00025928312,8.543377e-05,0.00014883392
5084,Oc1ccc(-c2ccc(-c3nc4ccccc4s3)s2)cc1F,3.4004,2.1714,3.2859,3.076054845154576,1.982875629322929,-0.8896964134912833,-1.0569000000000006,3.913902092922753,0.095595874,0.051921166,0.07045175
5085,c1csc(-c2cc(-c3ccsc3)c(-c3ccsc3)s2)c1,3.60285,2.23595,3.1757,3.222428470692575,2.034606996620429,-0.8467855225482825,-1.2961999999999998,3.264420074367626,0.119166985,0.02139316,0.050491173
5086,c1csc(-c2ccc(-c3ccncc3)[nH]2)c1,3.8015,2.3927,3.3947,3.366054653518576,2.1602288684079287,-0.9544030832972824,-1.3907000000000005,2.9644863018505223,0.0679002,0.014983394,0.031896323
5087,O=c1c2ccc(F)cc2[nH]c2ccc(F)cc12,3.6775,2.8483,3.3107,3.2764012597585754,2.5253537474279293,-1.7743062350972822,-2.3859,2.8432143276808777,0.00064949365,0.0003336991,0.00046554857
5088,O=C1CCCn2c1cc(-c1ccccc1)c2-c1ccccc1,3.8637,2.9674,3.3974,3.4110259526465763,2.620802327522929,-1.8305787023992828,-2.5374,3.375313797875562,0.00046986414,0.00018660314,0.00029610493
5089,Fc1ccc(C2CCNC2)cc1,5.0629,4.1599,4.3656,4.278061031654575,3.5764902516479293,-2.874919471641284,-3.954200000000001,3.2480393943585355,1.1516627e-06,8.122062e-07,9.671544e-07
5090,Oc1ccc(-c2csc(-c3ccccc3F)n2)cc1,3.6822,2.6884,3.4577,3.279799412586576,2.3972074169729294,-1.5146154213592826,-1.9191000000000005,3.018872373596765,0.00288949,0.001998165,0.0024028479
5091,Nc1ccc(-c2nc3ccccc3s2)cc1,4.0636,2.8016,3.751266666666666,3.555555899522575,2.4879276459129294,-1.4202993923032832,-1.8519333333333328,2.6709348481413007,0.0049625128,0.0025841678,0.0035810564
5092,Oc1ccc(C(F)(F)F)cc1-c1ccsc1,4.7506,3.3721,3.9875,4.052264621402576,2.9451351601379288,-1.838005698873284,-2.7567000000000004,2.830709140508929,0.0004502082,8.04387e-05,0.0001903002
5093,Fc1cccc(-c2ccc(-c3cn4ccncc4n3)s2)c1,3.5759,2.4173,3.1528,3.2029433177745754,2.1799436884779286,-1.1569440591812823,-1.6818,3.4794488828887284,0.022204904,0.0049527194,0.01048688
5094,Fc1ccc2c(-c3cc4ccccc4o3)csc2c1,4.0641,2.5624,3.5753,3.555917405142575,2.2962290702729287,-1.0365407354032825,-1.5494999999999997,3.3457496354629983,0.043436848,0.008202065,0.018875165
5095,c1ccc2cc(-c3ccc4c(c3)CCCO4)ccc2c1,4.051,2.9404,3.5899,3.5464459578985754,2.599164110372929,-1.6518822628472831,-2.2909,3.2516032263955297,0.0013132411,0.00048042394,0.0007943
5096,Clc1cc(Cl)cc(-n2ccc3cc(-c4ccsc4)ccc32)c1,4.0765,3.3207,3.4656,3.564882744518575,2.903942406007929,-2.2430020674972826,-3.1758,3.5849845945954404,4.3762302e-05,1.6106196e-05,2.6548903e-05
5097,Cc1ccc(-c2nc(-c3ccc(Cl)cc3Cl)cs2)cc1Cl,4.0368,2.7978,3.3960000000000004,3.536179198290576,2.4848822672029294,-1.4335853361152826,-2.1996,3.35973954797903,0.004598821,0.0006818734,0.0017708229
5098,c1csc(-c2cc3ccccc3nc2-c2nccs2)c1,3.5642,2.7662,3.1441,3.194484086266576,2.4595575389829287,-1.724630991699282,-2.3883,3.739642801751892,0.0008643091,0.00033064076,0.00053458003
5099,Fc1cc(F)cc(-c2nc3cc(-c4cccs4)ccc3[nH]2)c1,3.5087,2.8388,3.0061,3.154356962446576,2.517740300652929,-1.881123638859284,-2.6715,3.540779185875304,0.00035128678,0.00011154537,0.00019795053
